project_id,project_ref,gsp,licence_area,technology,mw_installed,mw_export,phase,queue_position,queue_pct,gsp_total_mw,gsp_project_count,firm_date,firm_date,acceptance_date,protections,gsp_fault_constrained,spv_name,spv_postcode,spv_lat,spv_lon,spv_address,spv_county,ecr_flexible,ecr_target_energisation,ecr_mpan,ecr_match_score,ecr_match_type,location_source,ch_company_number,ch_status,ch_incorporated,ch_last_filing,ch_has_charges,ch_charge_count,ch_match_name,ch_match_score,ch_dormant,repd_ref,repd_planning_status,repd_lpa,repd_operator,repd_county,repd_region,repd_postcode,repd_date_refused,repd_date_granted,repd_date_operational,repd_date_construction,repd_match_score,tier,tier_reasons,acq_signal,acq_rationale,last_updated,NESO Countersign Date,Customer Acceptance Date,Obtain Min Info Date,gate_outcome
11,G2-0011,Swansea North Grid,South Wales,Wind,14.1,14.1,1.0,13,0.17647058823529413,,,30/06/2026,,01/09/2016,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),, thrive renewables (abergorki) ltd,CF42 6TF,51.67522,-3.51195,Treorchy,data not available,data not available,2026-09-14 00:00:00,data not applicable,100.0,gsp+mw+tech,ecr,08589219,active,2013-06-28,2026-03-11,False,0,THRIVE RENEWABLES (ABERGORKI) LIMITED,94.3,False,"repd_ref    AA577
repd_ref     3834
repd_ref      NaN
Name: 3051, dtype: object",Abandoned,Rhondda Cynon Taf,Npower Renewables,Mid Glamorgan,Wales,,,,,,100.0,RED,planning:Abandoned|spv:active|queue_pct:18%,HIGH,Planning refused but SPV still active and queue position is front-half at Swansea North Grid. The grid connection offer may survive the planning failure — this is the clearest case for connection inheritance (Path A). Nuclear plant could acquire the SPV and re-apply with a different technology.,2026-05-07T19:15:52,06/09/2016,18/01/2023,17/02/2015,Gate 2
12,G2-0012,Pyle Grid,South Wales,Wind,23.8,23.8,1.0,14,0.2,,,31/03/2029,,01/09/2016,Protection Clause 2a: Projects which are significantly progressed (CMP435),, upper ogmore energy limited,DATA NOT AVAILABLE,51.51956,-3.68279,Land At Blaengarw,data not available,data not available,2031-06-30 00:00:00,data not applicable,100.0,gsp+mw+tech,gsp,13790283,active,2021-12-08,2025-12-07,False,0,UPPER OGMORE ENERGY LIMITED,100.0,False,"repd_ref    EN00510
repd_ref       3975
repd_ref        NaN
Name: 3180, dtype: object",Abandoned,Denbighshire,AGR Renewables,Clwyd,Wales,,,,,,100.0,RED,planning:Abandoned|spv:active|queue_pct:20%,HIGH,Planning refused but SPV still active and queue position is front-half at Pyle Grid. The grid connection offer may survive the planning failure — this is the clearest case for connection inheritance (Path A). Nuclear plant could acquire the SPV and re-apply with a different technology.,2026-05-07T19:15:52,06/09/2016,11/01/2016,29/05/2015,Gate 2
13,G2-0013,Rassau G.S.P.,South Wales,Solar,30.0,30,1.0,16,0.2857142857142857,,,29/07/2027,,01/09/2016,Protection Clause 2a: Additional protection for projects contracted to connect on or before 31st December 2027,, blaenau gwent solar limited,NP22 5BQ,51.74424,-3.2521,data not available,data not available,data not available,2027-07-29 00:00:00,data not applicable,100.0,gsp+mw+tech,ecr,10789266,active,2017-05-25,2025-05-24,False,0,BLAENAU GWENT SOLAR LIMITED,100.0,False,"repd_ref    C1595
repd_ref     1765
repd_ref      NaN
Name: 1398, dtype: object",Operational,Pembrokeshire,Sunsave,Dyfed,Wales,SA62 4PY,,,2014-09-12 00:00:00,2014-06-04 00:00:00,100.0,GREEN,planning:operational(2014-09-12)|spv:active|queue_pct:29%,MEDIUM,"GREEN (consented, active SPV, good queue) but pre-FID — no registered charges yet. Project is real and progressing but not yet at financial close. A co-development or offtake partnership (Path B) could be attractive to both sides: nuclear baseload + data centre demand provides a stronger bankability case than merchant BESS or solar alone. 30 MW at Rassau G.S.P..",2026-05-07T19:15:52,06/09/2016,25/04/2024,10/11/2015,Gate 2
14,G2-0014,PORT HAM 132kV S STN,West Midlands,BESS,8.0,28,1.0,17,0.05555555555555555,,,30/03/2026,,09/09/2016,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),,,,51.4348,-2.60905,,,,,,0.0,none,gsp,,,,,,,,,,"repd_ref      NaN
repd_ref    11624
repd_ref     8228
Name: 7892, dtype: object",Abandoned,Wychavon,Infinis,Worcestershire,West Midlands,WR10 2NF,,,,,100.0,RED,planning:Abandoned|queue_pct:6%|no_ecr_match|no_ch_record,HIGH,RED tier with front-half queue position at PORT HAM 132kV S STN (8 MW). Distressed project may exit at a significant discount. Suits Path A (connection inheritance) or Path C (demand co-location with data centre).,2026-05-07T19:15:52,14/09/2016,01/04/2020,27/01/2016,Gate 2
15,G2-0015,PORT HAM 132kV S STN,West Midlands,Gas peaker,20.0,28,1.0,17,0.05555555555555555,,,30/03/2026,,09/09/2016,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),,,,51.4535,-2.5952,,,,,,0.0,none,gsp,,,,,,,,,,,,,,,,,,,,,0.0,GREY,queue_pct:6%|no_ecr_match|no_repd_match|no_ch_record,MEDIUM,"No public trace but front-half queue position at PORT HAM 132kV S STN. May be a real Phase 2 project with slow data propagation, or a speculative placeholder. Worth direct outreach to NGED to confirm queue status before investing diligence effort.",2026-05-07T19:15:52,14/09/2016,01/04/2020,27/01/2016,Gate 2
16,G2-0016,PORT HAM 132kV S STN,West Midlands,Solar,25.0,25,1.0,20,0.1111111111111111,,,26/10/2026,,16/11/2016,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),,,,51.44061,-2.59343,,,,,,0.0,none,gsp,,,,,,,,,,"repd_ref    C3062
repd_ref     2175
repd_ref      NaN
Name: 1759, dtype: object",Operational,Wychavon,INRG (Solar Park) 14,Hereford and Worcester,West Midlands,,2014-09-15 00:00:00,,2016-03-23 00:00:00,2016-01-15 00:00:00,100.0,RED,planning:refused(2014-09-15)|planning:operational(2016-03-23)|queue_pct:11%|no_ecr_match|no_ch_record,HIGH,RED tier with front-half queue position at PORT HAM 132kV S STN (25 MW). Distressed project may exit at a significant discount. Suits Path A (connection inheritance) or Path C (demand co-location with data centre).,2026-05-07T19:15:52,21/11/2016,26/04/2024,02/03/2016,Gate 2
17,G2-0017,Upper Boat,South Wales,Gas peaker,40.0,40,1.0,21,0.058823529411764705,,,30/09/2025,,09/01/2017,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),, centrica distributed generation ltd,CF35 5HU,51.55828,-3.34674,Felindre Road,data not available,data not available,2026-10-07 00:00:00,data not applicable,100.0,gsp+mw+tech,gsp,04713745,active,2003-03-27,2025-06-01,True,2,CENTRICA DISTRIBUTED GENERATION LIMITED,94.6,False,,,,,,,,,,,,0.0,AMBER,spv:active|charges:2registered|queue_pct:6%|no_repd_match,LOW,"AMBER with charges registered and good queue position at Upper Boat. Project is progressing toward financial close. Low distress, but track for any signs of developer difficulty. A voluntary exit at this stage would be priced near full value.",2026-05-07T19:15:52,14/01/2017,13/07/2016,24/03/2016,Gate 2
18,G2-0018,DRAKELOW 132kV,East Midlands,BESS,44.0,40,1.0,22,0.07692307692307693,,,30/06/2023,,10/02/2022,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),, sheepwash lane energy barn limited,DE12 6RJ,52.76605,-1.61056,Breach Farm At 132,Derbyshire,data not available,2027-02-15 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),ecr,10923479,active,2017-08-18,2025-08-17,False,0,SHEEPWASH LANE ENERGY BARN LIMITED,100.0,False,"repd_ref     NaN
repd_ref    6914
repd_ref     NaN
Name: 5319, dtype: object",Planning Permission Granted,South Derbyshire,Bluefield Solar Income Fund,Derbyshire,East Midlands,DE12 6RJ,,,,,100.0,AMBER,spv:active|queue_pct:8%,MEDIUM,"Consented or progressing, active SPV, good queue position at DRAKELOW 132kV, but no registered charges — pre-FID. Developer may be seeking capital or a co-development partner. Path B (co-location partnership) is the natural fit: nuclear provides capital and offtake anchor, developer provides planning and connection. 44 MW.",2026-05-07T19:15:52,06/06/2017,04/08/2016,10/05/2016,Gate 2
19,G2-0019,WEST BURTON 132kV S STN,East Midlands,Solar,49.9,49.9,1.0,24,0.1,,,13/11/2025,,01/10/2017,,TRUE, hatton solar farm limited,LN9 5PB,53.2649,-0.17506,Top Yard,data not available,data not available,2027-01-15 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),ecr,13663319,active,2021-10-05,2025-10-04,False,0,HATTON SOLAR FARM LIMITED,100.0,False,"repd_ref    C3242
repd_ref     2199
repd_ref      NaN
Name: 1782, dtype: object",Planning Permission Expired,North Kesteven,Hazel Capital LLP,Lincolnshire,East Midlands,LN4 3PQ,,,,,100.0,GREEN,planning:Planning Permission Expired|spv:active|queue_pct:10%,MEDIUM,"GREEN (consented, active SPV, good queue) but pre-FID — no registered charges yet. Project is real and progressing but not yet at financial close. A co-development or offtake partnership (Path B) could be attractive to both sides: nuclear baseload + data centre demand provides a stronger bankability case than merchant BESS or solar alone. 50 MW at WEST BURTON 132kV S STN.",2026-05-07T19:15:52,06/10/2017,17/01/2017,01/08/2016,Gate 2
20,G2-0020,Seabank Sgp,South West,Gas peaker,20.0,20,1.0,25,0.1,,,17/01/2027,,12/04/2017,Protection Clause 2a: Additional protection for projects contracted to connect on or before 31st December 2027,, avonmouth project co limited,BS10 7SE,51.56517,-2.65007,Land At: Severn Road,data not available,data not available,2026-11-19 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),gsp,16050023,active,2024-10-30,2025-10-29,False,0,AVONMOUTH PROJECT CO LIMITED,100.0,False,,,,,,,,,,,,0.0,AMBER,spv:active|queue_pct:10%|no_repd_match,MEDIUM,"Consented or progressing, active SPV, good queue position at Seabank Sgp, but no registered charges — pre-FID. Developer may be seeking capital or a co-development partner. Path B (co-location partnership) is the natural fit: nuclear provides capital and offtake anchor, developer provides planning and connection. 20 MW.",2026-05-07T19:15:52,17/04/2017,03/04/2017,10/01/2017,Gate 2
21,G2-0021,BISHOPS WOOD 132kV S STN,West Midlands,BESS,40.0,40,1.0,26,0.047619047619047616,,,10/08/2027,,01/06/2017,Protection Clause 2a: Additional protection for projects contracted to connect on or before 31st December 2027,,Whitehouse farm energy barn limited,WR13 6NZ,52.1078,-2.2589,Rhydd Road,Malvern,data not available,2026-09-25 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),ecr,10923867,active,2017-08-21,2025-08-20,False,0,WHITEHOUSE FARM ENERGY BARN LIMITED,100.0,False,"repd_ref     NaN
repd_ref    7096
repd_ref     NaN
Name: 5455, dtype: object",Planning Permission Granted,Newcastle-under-Lyme,Volta Energy Storage,Staffordshire,West Midlands,ST5 7LU,,,,,100.0,AMBER,spv:active|queue_pct:5%,MEDIUM,"Consented or progressing, active SPV, good queue position at BISHOPS WOOD 132kV S STN, but no registered charges — pre-FID. Developer may be seeking capital or a co-development partner. Path B (co-location partnership) is the natural fit: nuclear provides capital and offtake anchor, developer provides planning and connection. 40 MW.",2026-05-07T19:15:52,06/06/2017,23/05/2017,13/02/2017,Gate 2
22,G2-0022,Seabank Sgp,South West,Gas peaker,20.0,20,1.0,27,0.2,,,17/01/2027,,01/06/2017,Protection Clause 2a: Additional protection for projects contracted to connect on or before 31st December 2027,, avonmouth project co limited,BS10 7SE,51.55121,-2.67178,Land At: Severn Road,data not available,data not available,2026-11-19 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),gsp,16050023,active,2024-10-30,2025-10-29,False,0,AVONMOUTH PROJECT CO LIMITED,100.0,False,,,,,,,,,,,,0.0,AMBER,spv:active|queue_pct:20%|no_repd_match,MEDIUM,"Consented or progressing, active SPV, good queue position at Seabank Sgp, but no registered charges — pre-FID. Developer may be seeking capital or a co-development partner. Path B (co-location partnership) is the natural fit: nuclear provides capital and offtake anchor, developer provides planning and connection. 20 MW.",2026-05-07T19:15:52,06/06/2017,08/06/2017,17/03/2017,Gate 2
23,G2-0023,GRENDON 132kV S STN,East Midlands,Solar,30.0,30,1.0,29,0.07407407407407407,,,01/10/2027,,01/10/2017,Protection Clause 2a: Additional protection for projects contracted to connect on or before 31st December 2027,, ranksborough solar limited,LE15 7EJ,52.69075,-0.76462,Langham,Leicestershire,data not available,2026-11-25 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),ecr,11132027,active,2018-01-03,2026-01-02,False,0,RANKSBOROUGH SOLAR LIMITED,100.0,False,"repd_ref    C1244
repd_ref     1528
repd_ref      NaN
Name: 1222, dtype: object",Operational,North Kesteven,Octopus Investments,Lincolnshire,East Midlands,NG32 3RN,,,2014-07-29 00:00:00,,100.0,GREEN,planning:operational(2014-07-29)|spv:active|queue_pct:7%,MEDIUM,"GREEN (consented, active SPV, good queue) but pre-FID — no registered charges yet. Project is real and progressing but not yet at financial close. A co-development or offtake partnership (Path B) could be attractive to both sides: nuclear baseload + data centre demand provides a stronger bankability case than merchant BESS or solar alone. 30 MW at GRENDON 132kV S STN.",2026-05-07T19:15:52,06/10/2017,13/10/2023,05/04/2017,Gate 2
24,G2-0024,Rassau G.S.P.,South Wales,Wind,10.0,10,1.0,31,0.42857142857142855,,,09/12/2026,,01/12/2017,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),,,,51.80272,-3.20854,,,,,,0.0,none,gsp,,,,,,,,,,"repd_ref    04011W3
repd_ref       2559
repd_ref        NaN
Name: 2073, dtype: object",Operational,Ceredigion,Cynllun Trydan Gwynt,Dyfed,Wales,,,,1998-04-18 00:00:00,,100.0,AMBER,planning:operational(1998-04-18)|queue_pct:43%|no_ecr_match|no_ch_record,MEDIUM,"Consented or progressing, active SPV, good queue position at Rassau G.S.P., but no registered charges — pre-FID. Developer may be seeking capital or a co-development partner. Path B (co-location partnership) is the natural fit: nuclear provides capital and offtake anchor, developer provides planning and connection. 10 MW.",2026-05-07T19:15:52,06/12/2017,05/12/2017,15/08/2017,Gate 2
25,G2-0025,GRENDON 132kV S STN,East Midlands,Solar,49.9,49.9,1.0,33,0.1111111111111111,,,01/10/2025,,01/02/2018,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),,Econergy international ltd,LE15 8AH,52.68365,-0.65243,Exton,Rutland,data not available,2026-09-01 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),ecr,12669318,active,2020-06-13,2025-07-14,True,25,ECONERGY INTERNATIONAL LIMITED,92.9,False,"repd_ref    C3242
repd_ref     2199
repd_ref      NaN
Name: 1782, dtype: object",Planning Permission Expired,North Kesteven,Hazel Capital LLP,Lincolnshire,East Midlands,LN4 3PQ,,,,,100.0,GREEN,planning:Planning Permission Expired|spv:active|charges:25registered|queue_pct:11%,LOW,GREEN with registered charges at GRENDON 132kV S STN — project is at or near FID. Real competition for grid capacity. A voluntary exit would price near full value; not a distressed opportunity. Track as a competitor.,2026-05-07T19:15:52,06/02/2018,22/12/2022,18/08/2017,Gate 2
26,G2-0026,EAST CLAYDON 132KV S STN,East Midlands,Solar,40.0,40,1.0,34,0.0625,,,30/10/2027,,01/09/2018,Protection Clause 2a: Additional protection for projects contracted to connect on or before 31st December 2027,TRUE, eeb32 ltd,MK17 0PG,51.96615,-0.84411,data not available,data not available,data not available,2027-01-04 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),ecr,11780129,active,2019-01-22,2026-01-12,True,1,EEB32 LIMITED,81.8,False,"repd_ref    AA692
repd_ref     1585
repd_ref      NaN
Name: 1274, dtype: object",Operational,Charnwood,Foresight Solar Fund,Leicestershire,East Midlands,LE12 5SN,,,2013-03-28 00:00:00,2013-02-01 00:00:00,100.0,GREEN,planning:operational(2013-03-28)|spv:active|charges:1registered|queue_pct:6%,LOW,GREEN with registered charges at EAST CLAYDON 132KV S STN — project is at or near FID. Real competition for grid capacity. A voluntary exit would price near full value; not a distressed opportunity. Track as a competitor.,2026-05-07T19:15:52,06/09/2018,20/04/2018,27/10/2017,Gate 2
27,G2-0027,DRAKELOW 132kV,East Midlands,Gas peaker,6.0,6,1.0,36,0.15384615384615385,,,14/10/2025,,01/08/2018,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),,,,52.77278,-1.58813,,,,,,0.0,none,gsp,,,,,,,,,,,,,,,,,,,,,0.0,GREY,queue_pct:15%|no_ecr_match|no_repd_match|no_ch_record,MEDIUM,"No public trace but front-half queue position at DRAKELOW 132kV. May be a real Phase 2 project with slow data propagation, or a speculative placeholder. Worth direct outreach to NGED to confirm queue status before investing diligence effort.",2026-05-07T19:15:52,06/08/2018,16/07/2018,23/01/2018,Gate 2
28,G2-0028,RATCLIFFE ON SOAR 132kV S STN,East Midlands,Solar,22.0,22,1.0,37,0.03571428571428571,,,17/12/2026,,01/07/2018,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),, nightshade devco limited,LE12 5TL,52.78098,-1.17404,Cotes,data not available,data not available,2027-05-20 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),ecr,13243422,active,2021-03-03,2026-03-02,False,0,NIGHTSHADE DEVCO LIMITED,100.0,False,"repd_ref    C3314
repd_ref     2209
repd_ref      NaN
Name: 1792, dtype: object",Abandoned,North Kesteven,Estover Energy,Lincolnshire,East Midlands,,,,,,100.0,RED,planning:Abandoned|spv:active|queue_pct:4%,HIGH,Planning refused but SPV still active and queue position is front-half at RATCLIFFE ON SOAR 132kV S STN. The grid connection offer may survive the planning failure — this is the clearest case for connection inheritance (Path A). Nuclear plant could acquire the SPV and re-apply with a different technology.,2026-05-07T19:15:52,06/07/2018,20/06/2018,02/02/2018,Gate 2
29,G2-0029,GRENDON 132kV S STN,East Midlands,BESS,49.9,49.9,1.0,38,0.14814814814814814,,,16/02/2026,,01/10/2020,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),, statera energy limited,NN7 1JD,52.24372,-0.72603,Land Off Station Road,data not available,data not available,2026-08-13 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),ecr,09840486,active,2015-10-26,2025-10-25,True,10,STATERA ENERGY LIMITED,100.0,False,"repd_ref     NaN
repd_ref    6920
repd_ref     NaN
Name: 5325, dtype: object",Operational,Bassetlaw,EDF Energy Renewables,Nottinghamshire,East Midlands,DN22 9BL,,,2018-06-25 00:00:00,2018-01-25 00:00:00,100.0,GREEN,planning:operational(2018-06-25)|spv:active|charges:10registered|queue_pct:15%,LOW,GREEN with registered charges at GRENDON 132kV S STN — project is at or near FID. Real competition for grid capacity. A voluntary exit would price near full value; not a distressed opportunity. Track as a competitor.,2026-05-07T19:15:52,06/10/2020,21/05/2018,21/02/2018,Gate 2
